rank,school,grades,district,students,free_lunch_rec,total_exp,score,year
1,Sara M. Gilmore Academy,1-8,Union City School District,369,56.4%,"$11,311",96.6,2017
2,Sea Girt Elementary School,"PK, KG-8",Sea Girt Borough School District,145,0.0%,"$19,511",96.4,2017
3,Science Park High School,7-12,Newark Public School District,805,70.4%,"$11,449",95.4,2017
4,Mendham Township Middle School,5-8,Mendham Township School District,348,0.0%,"$18,518",95.2,2017
5,Markham Place School,5-8,Little Silver Boro School District,377,1.3%,"$9,993",94.7,2017
6,Tenakill Middle School,5-8,Closter Public School District,483,0.0%,"$10,466",94.6,2017
7,Brookside School,4-8,Allendale Public School District,552,0.5%,"$10,272",94.5,2017
8,Demarest Middle School,5-8,Demarest School District,311,1.3%,"$12,207",94.3,2017
9,Infinity Institute,6-12,Jersey City Public Schools,253,74.7%,"$9,826",94.2,2017
10,Woodcliff Middle School,6-8,Woodcliff Lake School District,275,1.1%,"$17,046",93.4,2017
11,Millburn Middle School,6-8,Millburn Township School District,"1,145",1.5%,"$14,838",93.3,2017
12,Nicholas Oresko Community School,"PK, KG-8",Bayonne School District,452,45.6%,"$11,130",93.3,2017
13,Soaring Heights Charter School,K-8,Soaring Heights Charter School,237,48.1%,"$8,696",92.7,2017
14,Briarcliff Middle School,6-8,Mountain Lakes Public School District,315,1.0%,"$18,304",92.5,2017
15,School 28,"PK, KG-8",Paterson Public School District,488,82.6%,"$9,579",92.1,2017
16,Forrestdale School,4-8,Rumson Borough School District,598,0.0%,"$10,265",91.6,2017
17,Emil A. Cavallini Middle School,6-8,Upper Saddle River School District,466,0.6%,"$15,979",91.4,2017
18,Princeton Charter School,K-8,Princeton Charter School,350,1.4%,,91.4,2017
19,Eugene A. Tighe Middle School,5-8,Margate City School District,169,11.2%,"$17,865",91.3,2017
20,Old Turnpike School,6-8,Tewksbury Township School District,294,1.7%,"$16,739",91.2,2017
21,New Providence Middle School,7-8,New Providence School District,361,4.4%,"$9,397",90.9,2017
22,Ho-Ho-Kus Public School,"PK, KG-8",Ho-Ho-Kus School District,612,0.0%,"$13,291",90.4,2017
23,Academy I,6-8,Jersey City Public Schools,507,63.1%,"$10,195",90.2,2017
24,Avon Elementary School,"PK, KG-8",Avon Boro School District,146,11.6%,"$17,400",90.2,2017
25,Alpine Elementary School,K-8,Alpine School District,160,0.0%,"$27,835",90,2017
26,Shrewsbury Borough Elementary School,"PK, KG-8",Shrewsbury Borough School District,486,1.4%,"$14,231",90,2017
27,Heritage Middle School,7-8,Livingston Board of Education School District,957,2.4%,"$10,996",89.8,2017
28,Orange Avenue School,3-8,Cranford Public School District,764,1.3%,"$7,540",89.7,2017
29,Woodrow Wilson Middle School,6-8,Edison Township School District,"1,134",13.2%,"$6,900",89.7,2017
30,Bedminster Township Public School,"PK, KG-8",Bedminster Township Public School District,529,6.4%,"$17,615",89.7,2017
31,Morris Plains Borough School,3-8,Morris Plains School District,368,3.3%,"$12,826",89.6,2017
32,Anthony Wayne Middle School,6-8,Wayne Township Public School District,632,10.0%,"$15,873",89.4,2017
33,Frenchtown Elementary,"PK, KG-8",Frenchtown Borough School District,129,19.4%,"$17,886",89.4,2017
34,Hoboken Dual Language Charter School,K-8,Hoboken Dual Language Charter School,365,9.0%,"$9,496",89.3,2017
35,Madison Junior School,6-8,Madison Public School District,635,7.1%,"$12,630",89.2,2017
36,Cranbury School,"PK, KG-8",Cranbury Township School District,466,4.3%,"$18,574",89.1,2017
37,Union Township Middle School,5-8,Union Township School District,230,3.9%,"$18,446",89,2017
38,H W Mountz Elementary School,"PK, KG-8",Spring Lake Borough,196,0.0%,"$25,190",88.9,2017
39,Tenafly Middle School,6-8,Tenafly Public School District,921,2.9%,"$10,776",88.9,2017
40,Stewartsville Middle School,6-8,Greenwich Township School District,260,5.8%,"$13,301",88.7,2017
41,Harrington Park School,"PK, KG-8",Harrington Park School District,608,0.0%,"$16,559",88.7,2017
42,Marlboro Memorial Middle School,6-8,Marlboro Township School District,917,3.6%,"$9,987",88.6,2017
43,Glen Ridge High School,7-12,Glen Ridge Public School District,828,0.0%,"$10,966",88.5,2017
44,William Annin Middle School,6-8,Bernards Township School District,"1,359",1.1%,"$10,219",88.4,2017
45,Norwood Public School,"PK, KG-8",Norwood Public School District,613,0.0%,"$12,636",88.2,2017
46,Woodglen School,5-8,Lebanon Township School District,292,7.5%,"$10,892",88.1,2017
47,John Adams Middle School,6-8,Edison Township School District,952,13.2%,"$6,899",87.9,2017
48,Monmouth Beach Elementary School,"PK, KG-8",Monmouth Beach School District,240,0.0%,"$15,153",87.7,2017
49,Ethel Hoppock Middle School,7-8,Bethlehem Township School District,150,3.3%,"$20,268",87.6,2017
