rank,school,grades,district,students,free_lunch_rec,total_exp,score,year
1,Dr Ronald McNair High School,9-12,Jersey City Public Schools,713,42.2%,"$11,528",99.2,2020
2,Academy For Information Technology,9-12,Union County Vocational-Technical School District,284,7.4%,"$8,671",98.6,2020
3,Academy for Mathematics Science and Engineering,9-12,Morris County Vocational School District,182,1.6%,"$12,298",98.6,2020
4,Bergen County Technical High School - Teterboro,9-12,Bergen County Vocational Technical School District,677,5.9%,"$17,807",98.4,2020
5,West Windsor-Plainsboro High School North,9-12,West Windsor-Plainsboro Regional School District,"1,521",6.1%,"$14,022",93.5,2020
6,Infinity Institute,6-12,Jersey City Public Schools,479,59.3%,"$9,826",92.8,2020
7,West Windsor-Plainsboro High School South,9-12,West Windsor-Plainsboro Regional School District,"1,649",5.1%,"$12,191",91.8,2020
8,Morris County School of Technology,9-12,Morris County Vocational School District,787,3.9%,"$13,307",91.6,2020
9,Glen Ridge High School,7-12,Glen Ridge Public School District,852,0.4%,"$10,966",91.5,2020
10,Diana C. Lobosco STEM Academy,9-12,Passaic County Technical-Vocational School District,792,38.8%,,90.1,2020
11,Ridge High School,9-12,Bernards Township School District,"1,794",1.2%,"$10,069",89.9,2020
12,Millburn High School,9-12,Millburn Township School District,"1,319",2.3%,"$16,959",89.4,2020
13,Union County Technical,9-12,Union County Vocational-Technical School District,498,13.1%,"$6,462",88.9,2020
14,New Providence High School,9-12,New Providence School District,643,1.6%,"$12,987",88.3,2020
15,Chatham High School,9-12,School District of the Chathams,"1,315",1.6%,"$9,966",88.2,2020
16,Ridgewood High School,9-12,Ridgewood Public School District,"1,775",2.0%,"$11,059",88,2020
17,Academy For Performing Arts,9-12,Union County Vocational-Technical School District,226,7.1%,"$11,042",88,2020
18,Central Jersey College Prep Charter School,K-12,Central Jersey College Prep Charter School,"1,219",20.3%,"$8,883",87.9,2020
19,Applied Technology High School,9-12,Bergen County Vocational Technical School District,213,10.8%,"$17,049",87.9,2020
20,Summit High School,9-12,Summit Public School District,"1,152",14.6%,"$7,246",86.6,2020
21,Moorestown High School,9-12,Moorestown Township Public School District,"1,291",9.2%,"$8,774",86.6,2020
22,West Morris Mendham High School,9-12,West Morris Regional High School District,"1,142",0.6%,"$12,763",86.3,2020
23,Northern Valley Regional High School at Demarest,9-12,Northern Valley Regional High School District,955,0.7%,"$15,340",86.3,2020
24,Tenafly High School,9-12,Tenafly Public School District,"1,231",1.6%,"$11,703",85.8,2020
25,East Brunswick High School,10-12,East Brunswick Township School District,"2,033",17.9%,"$14,963",85.1,2020
26,Thomas Edison EnergySmart Charter School,K-12,Thomas Edison EnergySmart Charter School,591,12.7%,"$7,387",84.7,2020
27,John P. Stevens High School,9-12,Edison Township School District,"2,667",7.6%,"$6,666",84.7,2020
28,Montgomery High School,9-12,Montgomery Township School District,"1,577",3.9%,"$13,405",84.6,2020
29,Westfield Senior High School,9-12,Westfield Public School District,"1,864",1.8%,"$7,575",83.4,2020
30,Glen Rock High School,9-12,Glen Rock Public School District,720,1.1%,"$15,807",83.3,2020
31,Rumson-Fair Haven Regional High School,9-12,Rumson-Fair Haven Regional High School District,968,0.3%,"$14,186",82.8,2020
32,Livingston High School,9-12,Livingston Board of Education School District,"1,947",2.3%,"$12,895",81.6,2020
33,Cresskill High School,9-12,Cresskill Public School District,509,0.6%,"$11,210",81.6,2020
34,Princeton High School,9-12,Princeton Public School District,"1,555",10.3%,"$11,506",81.2,2020
