Restaurant ID,Restaurant Name,Country Code,City,Address,Locality,Locality Verbose,Longitude,Latitude,Cuisines,Average Cost for two,Currency,Has Table booking,Has Online delivery,Is delivering now,Switch to order menu,Price range,Aggregate rating,Rating color,Rating text,Votes
18208924,Rang De Basanti Urban Dhaba,1,New Delhi,"1-A, 1st Floor, Hauz Khas Village, New Delhi",Hauz Khas Village,"Hauz Khas Village, New Delhi",77.195013,28.554476,North Indian,1300,Indian Rupees(Rs.),Yes,Yes,No,No,3,4.4,Green,Very Good,541
303092,Smoke House Deli,1,New Delhi,"12, Hauz Khas Village, New Delhi",Hauz Khas Village,"Hauz Khas Village, New Delhi",77.1948582,28.5542015,"European, Italian, Cafe",1600,Indian Rupees(Rs.),Yes,Yes,No,No,3,4.1,Green,Very Good,1199
307436,Viva Deli - Holiday Inn,1,New Delhi,"Holiday Inn, 12, Asset Area, Hospitality District, Aerocity, New Delhi","Holiday Inn, Aerocity","Holiday Inn, Aerocity, New Delhi",77.122793,28.550327,Bakery,1000,Indian Rupees(Rs.),No,No,No,No,3,3.3,Orange,Average,30
306510,Cafe on 3 - Holiday Inn,1,New Delhi,"Holiday Inn, 13-A, District Centre, Mayur Vihar Phase 1, New Delhi","Holiday Inn, Mayur Vihar","Holiday Inn, Mayur Vihar, New Delhi",77.2980406,28.5907981,"Continental, Chinese, Thai, Mediterranean",2000,Indian Rupees(Rs.),Yes,No,No,No,4,3.4,Orange,Average,174
312801,The Kylin Experience - Holiday Inn,1,New Delhi,"Holiday Inn, 13 A, District Centre, Mayur Vihar Phase 1, New Delhi","Holiday Inn, Mayur Vihar","Holiday Inn, Mayur Vihar, New Delhi",77.2977869,28.5905091,"Japanese, Chinese, Asian, Thai",1800,Indian Rupees(Rs.),Yes,Yes,No,No,3,3.7,Yellow,Good,128
3293,Thugs - Hotel Broadway,1,New Delhi,"Hotel Broadway, 4/15/A, Daryaganj, New Delhi","Hotel Broadway, Daryaganj","Hotel Broadway, Daryaganj, New Delhi",77.2379557,28.6409625,Finger Food,1100,Indian Rupees(Rs.),No,No,No,No,3,3.4,Orange,Average,72
422,Chor Bizarre - Hotel Broadway,1,New Delhi,"Hotel Broadway, 4/15/A, Daryaganj, New Delhi","Hotel Broadway, Daryaganj","Hotel Broadway, Daryaganj, New Delhi",77.2378659,28.6410435,"North Indian, Kashmiri, Chinese, Thai, Korean",2000,Indian Rupees(Rs.),Yes,No,No,No,4,3.9,Yellow,Good,295
3260,Opium Bar - Hotel City Park,1,New Delhi,"Hotel City Park, KP Block, Pitampura, New Delhi","Hotel City Park, Pitampura","Hotel City Park, Pitampura, New Delhi",77.1430501,28.7056604,"Finger Food, North Indian, Chinese",2000,Indian Rupees(Rs.),Yes,No,No,No,4,2.8,Orange,Average,19
1267,Yellow Mirchi - Hotel City Park,1,New Delhi,"Hotel City Park, KP Block, Pitampura, New Delhi","Hotel City Park, Pitampura","Hotel City Park, Pitampura, New Delhi",77.1432187,28.7057393,North Indian,2500,Indian Rupees(Rs.),Yes,No,No,No,4,3.9,Yellow,Good,259
18273067,Curry Capital - Hotel Classic Diplomat,1,New Delhi,"A-4, NH 8, Near IGI Airport, Mahipalpur, New Delhi","Hotel Classic Diplomat, Mahipalpur","Hotel Classic Diplomat, Mahipalpur, New Delhi",77.1261797,28.5476562,"North Indian, Continental, South Indian, Chinese",1000,Indian Rupees(Rs.),Yes,No,No,No,3,0,White,Not rated,1
18312623,Viceroy Bar - Hotel Classic Diplomat,1,New Delhi,"Hotel Classic Diplomat, A-4, NH 8, Near IGI Airport, Mahipalpur, New Delhi","Hotel Classic Diplomat, Mahipalpur","Hotel Classic Diplomat, Mahipalpur, New Delhi",77.1259999,28.5479078,North Indian,800,Indian Rupees(Rs.),Yes,No,No,No,2,0,White,Not rated,0
308069,Cafe Regent,1,New Delhi,"Hotel Regent Grand, 2/6 East Patel Nagar, Near Pusa Road, East Patel Nagar, New Delhi","Hotel Regent Grand, Karol Bagh","Hotel Regent Grand, Karol Bagh, New Delhi",77.1729864,28.6430365,Cafe,700,Indian Rupees(Rs.),No,No,No,No,2,3,Orange,Average,7
308068,The Grand Kitchen,1,New Delhi,"Hotel Regent Grand, 2/6 East Patel Nagar, Near Pusa Road, East Patel Nagar, New Delhi","Hotel Regent Grand, Karol Bagh","Hotel Regent Grand, Karol Bagh, New Delhi",77.1729982,28.6430256,"North Indian, Chinese",800,Indian Rupees(Rs.),Yes,No,No,No,2,0,White,Not rated,1
4367,Lutyen's - Hotel The Royal Plaza,1,New Delhi,"Hotel The Royal Plaza, 19, Ashoka Road, Janpath, New Delhi","Hotel The Royal Plaza, Janpath","Hotel The Royal Plaza, Janpath, New Delhi",77.2170282,28.6212265,"Continental, North Indian, Italian",3000,Indian Rupees(Rs.),Yes,No,No,No,4,3.3,Orange,Average,95
4364,Onyx Bar - Hotel The Royal Plaza,1,New Delhi,"Hotel The Royal Plaza, 19, Ashoka Road, Janpath, New Delhi","Hotel The Royal Plaza, Janpath","Hotel The Royal Plaza, Janpath, New Delhi",77.2170731,28.6212756,"Continental, Chinese, Japanese, North Indian, Thai",2500,Indian Rupees(Rs.),Yes,No,No,No,4,3,Orange,Average,19
310365,SKY Lounge Bar & Grill - Hotel The Royal Plaza,1,New Delhi,"Rooftop, Hotel The Royal Plaza, 19, Ashoka Road, Connaught Place, New Delhi","Hotel The Royal Plaza, Janpath","Hotel The Royal Plaza, Janpath, New Delhi",77.2170731,28.6212756,Finger Food,2500,Indian Rupees(Rs.),Yes,No,No,No,4,3.4,Orange,Average,265
4366,Jasmine - Hotel The Royal Plaza,1,New Delhi,"Hotel The Royal Plaza, 19, Ashoka Road, Janpath, New Delhi","Hotel The Royal Plaza, Janpath","Hotel The Royal Plaza, Janpath, New Delhi",77.2170731,28.6212756,"Seafood, Chinese, Japanese, Sushi, Thai",4000,Indian Rupees(Rs.),Yes,No,No,No,4,3.7,Yellow,Good,44
4365,Lord William Tea Lounge - Hotel The Royal Plaza,1,New Delhi,"Hotel The Royal Plaza, 19, Ashoka Road, Janpath, New Delhi","Hotel The Royal Plaza, Janpath","Hotel The Royal Plaza, Janpath, New Delhi",77.216908,28.6212322,Cafe,2500,Indian Rupees(Rs.),No,No,No,No,4,3.6,Yellow,Good,38
18419892,Royal Brewery Bistro,1,New Delhi,"Hotel The Royal Plaza, 19, Ashoka Road, Connaught Place, New Delhi","Hotel The Royal Plaza, Janpath","Hotel The Royal Plaza, Janpath, New Delhi",77.2170282,28.6213161,"Finger Food, Italian",2000,Indian Rupees(Rs.),Yes,No,No,No,4,3.5,Yellow,Good,14
4357,Cafe - Hyatt Regency,1,New Delhi,"Hyatt Regency, Bhikaji Cama Place, New Delhi","Hyatt Regency, Bhikaji Cama Place","Hyatt Regency, Bhikaji Cama Place, New Delhi",77.185331,28.56904,"Cafe, Continental, North Indian",3500,Indian Rupees(Rs.),Yes,No,No,No,4,3.6,Yellow,Good,261
3379,La Piazza - Hyatt Regency,1,New Delhi,"Hyatt Regency, Bhikaji Cama Place, New Delhi","Hyatt Regency, Bhikaji Cama Place","Hyatt Regency, Bhikaji Cama Place, New Delhi",77.185331,28.56904,Italian,4500,Indian Rupees(Rs.),Yes,No,No,No,4,3.9,Yellow,Good,410
3264,Polo Lounge - Hyatt Regency,1,New Delhi,"Hyatt Regency, Bhikaji Cama Place, New Delhi","Hyatt Regency, Bhikaji Cama Place","Hyatt Regency, Bhikaji Cama Place, New Delhi",77.185331,28.56904,Finger Food,2500,Indian Rupees(Rs.),Yes,No,No,No,4,3.6,Yellow,Good,49
4368,Sidewalk - Hyatt Regency,1,New Delhi,"Hyatt Regency, Bhikaji Cama Place, New Delhi","Hyatt Regency, Bhikaji Cama Place","Hyatt Regency, Bhikaji Cama Place, New Delhi",77.185331,28.56904,"Bakery, Cafe",1000,Indian Rupees(Rs.),No,No,No,No,3,3.8,Yellow,Good,79
4356,T.K'S Oriental Grill - Hyatt Regency,1,New Delhi,"Hyatt Regency, Bhikaji Cama Place, New Delhi","Hyatt Regency, Bhikaji Cama Place","Hyatt Regency, Bhikaji Cama Place, New Delhi",77.185331,28.56904,"Japanese, Thai, Sushi",4000,Indian Rupees(Rs.),Yes,No,No,No,4,3.9,Yellow,Good,290
3378,China Kitchen - Hyatt Regency,1,New Delhi,"Hyatt Regency, Bhikaji Cama Place, New Delhi","Hyatt Regency, Bhikaji Cama Place","Hyatt Regency, Bhikaji Cama Place, New Delhi",77.185331,28.56904,Chinese,4500,Indian Rupees(Rs.),Yes,No,No,No,4,4,Green,Very Good,424
310032,The Hub -  ibis New Delhi,1,New Delhi,"ibis New Delhi, Asset 9, Hospitality District, Aerocity, New Delhi","ibis New Delhi, Aerocity","ibis New Delhi, Aerocity, New Delhi",77.123127,28.551398,North Indian,1500,Indian Rupees(Rs.),Yes,No,No,No,3,3.1,Orange,Average,9
18481317,Frugurpop-  ibis New Delhi,1,New Delhi,"ibis New Delhi, Asset 9, Hospitality District, Aerocity, New Delhi","ibis New Delhi, Aerocity","ibis New Delhi, Aerocity, New Delhi",0,0,"Ice Cream, Desserts",300,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,0
